                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.59464,                  0.607,                 1.2097,                0.90132,                      1,                0.93281,                0.78769,                0.76159,                0.50933,                  1.658,             0.00031737,             0.00031737,             0.00031737
                    103,                0.62374,                0.59481,                 1.2523,                0.90653,                      1,                0.93281,                0.77343,                0.72678,                0.53641,                  1.604,             0.00031345,             0.00031345,             0.00031345
                    104,                0.59297,                0.58139,                 1.2292,                0.90459,                      1,                0.93281,                0.76824,                0.76109,                0.54301,                 1.6795,             0.00030952,             0.00030952,             0.00030952
                    105,                 0.6342,                0.56502,                 1.2752,                0.88529,                      1,                0.93281,                 0.7535,                0.80756,                0.54291,                 1.7229,             0.00030559,             0.00030559,             0.00030559
                    106,                0.65235,                0.66567,                 1.2551,                0.86866,                      1,                0.93281,                0.77775,                0.71905,                0.53806,                 1.5771,             0.00030167,             0.00030167,             0.00030167
                    107,                0.63098,                0.67249,                 1.2084,                0.83232,                      1,                0.93281,                0.79877,                0.67739,                0.54036,                 1.5113,             0.00029774,             0.00029774,             0.00029774
                    108,                0.63711,                0.59204,                  1.248,                0.83865,                      1,                0.93281,                0.79263,                0.68765,                0.55132,                 1.5455,             0.00029381,             0.00029381,             0.00029381
                    109,                0.56572,                0.54628,                 1.1927,                0.86488,                      1,                0.93281,                0.78708,                0.70136,                0.51713,                 1.5467,             0.00028988,             0.00028988,             0.00028988
                    110,                0.56753,                0.54375,                  1.166,                0.87327,                      1,                0.93281,                0.80138,                0.71564,                0.51261,                 1.5281,             0.00028596,             0.00028596,             0.00028596
                    111,                0.62796,                0.65599,                 1.2333,                0.89567,                      1,                  0.995,                0.82821,                0.75397,                0.51096,                 1.5972,             0.00028203,             0.00028203,             0.00028203
                    112,                 0.6208,                0.61149,                  1.309,                0.90797,                      1,                  0.995,                0.82304,                0.75541,                0.50949,                 1.6079,              0.0002781,              0.0002781,              0.0002781
                    113,                0.58929,                0.60223,                 1.2306,                0.89588,                      1,                  0.995,                0.83616,                0.76455,                0.50593,                 1.5876,             0.00027418,             0.00027418,             0.00027418
                    114,                0.55372,                0.55674,                 1.1576,                0.87338,                      1,                  0.995,                 0.8606,                0.77945,                0.50956,                 1.6031,             0.00027025,             0.00027025,             0.00027025
                    115,                 0.5282,                0.53482,                 1.1558,                0.82079,                      1,                0.93281,                0.77714,                0.79025,                0.47181,                  1.639,             0.00026632,             0.00026632,             0.00026632
                    116,                0.57031,                0.58278,                 1.1762,                0.81001,                      1,                0.93281,                0.77736,                0.77911,                0.47827,                 1.6444,              0.0002624,              0.0002624,              0.0002624
                    117,                 0.6117,                0.53833,                 1.2061,                0.81714,                      1,                0.93281,                0.77457,                0.77375,                0.52314,                 1.6197,             0.00025847,             0.00025847,             0.00025847
                    118,                0.54401,                0.51798,                  1.165,                0.83842,                      1,                0.93281,                0.78071,                0.78534,                0.53959,                  1.639,             0.00025454,             0.00025454,             0.00025454
                    119,                0.57407,                0.56487,                 1.1827,                0.86763,                      1,                0.93281,                0.77451,                0.78851,                0.52307,                 1.6551,             0.00025061,             0.00025061,             0.00025061
                    120,                0.56379,                0.56532,                 1.2084,                0.86732,                      1,                0.93281,                0.77289,                0.76887,                0.51678,                 1.6234,             0.00024669,             0.00024669,             0.00024669
                    121,                0.53081,                0.49334,                 1.1654,                0.83276,                      1,                0.93281,                0.78013,                0.74779,                0.50911,                 1.6088,             0.00024276,             0.00024276,             0.00024276
                    122,                0.55055,                0.52718,                 1.1683,                0.81518,                      1,                0.93281,                0.78402,                0.72589,                0.49859,                 1.5884,             0.00023883,             0.00023883,             0.00023883
                    123,                0.54682,                0.57202,                 1.1669,                0.81497,                      1,                0.93281,                0.79456,                 0.7241,                 0.5066,                 1.5987,             0.00023491,             0.00023491,             0.00023491
